category,nl_question,sparql_query
Temperature Extremes,What was the lowest recorded temperature in Dublin and when did it occur?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX ca: <http://example.org/ca/ont/Class/>

SELECT ?date ?val
WHERE {
    ?obs a ca:TemperatureObservation ;
         sosa:resultTime ?date ;
         sosa:hasResult ?res .

    ?res qudt:numericValue ?val .
}
ORDER BY ASC(?val)
LIMIT 1"
Temperature Extremes,Which month contained the hottest day ever recorded?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?month WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""max"" .
 BIND(MONTH(?date) AS ?month)
}
ORDER BY DESC(?val) LIMIT 1"
Temperature Extremes,What is the temperature range on the hottest day?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
# Retrieve max/min values and compute range externally
SELECT ?date ?label ?val WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ?label .
 FILTER(?label=""max"" || ?label=""min"")
}"
Temperature Extremes,What was the coldest day in January across all years?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?date ?val WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""min"" .
 FILTER(MONTH(?date)=1)
}
ORDER BY ASC(?val) LIMIT 1"
Temperature Extremes,What was the hottest day in July across all years?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?date ?val WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""max"" .
 FILTER(MONTH(?date)=7)
}
ORDER BY DESC(?val) LIMIT 1"
Temperature Extremes,How many days had minimum temperature above 50°F?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT (COUNT(?obs) AS ?days) WHERE {
 ?obs sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""min"" .
 FILTER(?val > 50)
}"
Temperature Extremes,What was the coldest day based on average temperature?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?date ?val WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
}
ORDER BY ASC(?val) LIMIT 1"
Temperature Extremes,In which year did the highest maximum temperature occur?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?year ?val WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""max"" .
 BIND(YEAR(?date) AS ?year)
}
ORDER BY DESC(?val) LIMIT 1"
Temperature Extremes,What was the lowest maximum temperature ever recorded?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?date ?val WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""max"" .
}
ORDER BY ASC(?val) LIMIT 1"
Temperature Extremes,What was the highest minimum temperature ever recorded?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?date ?val WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""min"" .
}
ORDER BY DESC(?val) LIMIT 1"
